Iteration,Browser,Energy (Joules),Time (Seconds)
1,Firefox,1373.318787,60.072205
2,Chrome,1279.150818,60.087173
3,Chrome,1243.697266,60.090454
4,Firefox,1252.606995,60.09122
5,Chrome,1234.040466,60.08058
6,Chrome,1267.889832,60.082924
7,Chrome,1271.641052,60.08201
8,Chrome,1275.917664,60.082672
9,Chrome,1225.184753,60.079853
10,Chrome,1272.583679,60.083992
11,Chrome,1286.325439,60.086
12,Chrome,1273.418152,60.0855
13,Chrome,1302.344116,60.083206
14,Firefox,1282.926941,60.079937
15,Firefox,1275.868591,60.084488
16,Firefox,1260.689148,60.08054
17,Firefox,1263.773071,60.078114
18,Firefox,1258.254395,60.08148
19,Firefox,1315.038025,60.08192
20,Firefox,1275.437195,60.081886
21,Firefox,1302.37738,60.077507
22,Chrome,1324.283997,60.0757
23,Firefox,1274.341797,60.081596
24,Chrome,1430.137268,60.080395
25,Chrome,1314.755493,60.081673
26,Firefox,1422.410522,60.07125
27,Chrome,1318.751465,60.081577
28,Chrome,1350.46051,60.077137
29,Firefox,1338.5354,59.684856
30,Firefox,1347.063354,60.083225
31,Chrome,1337.80188,60.07611
32,Chrome,1330.059,60.18341
33,Firefox,1325.790527,60.07702
34,Firefox,1239.360901,60.08425
35,Chrome,1394.734314,60.078922
36,Chrome,1442.046021,60.082687
37,Chrome,1319.233887,60.089188
38,Chrome,1323.317627,60.08036
39,Firefox,1215.858582,60.078007
40,Chrome,1320.014526,60.081783
41,Chrome,1324.748352,60.085
42,Chrome,1336.120239,60.088223
43,Firefox,1233.306213,60.078785
44,Firefox,1337.880493,60.074463
45,Chrome,1324.543518,60.07438
46,Chrome,1332.681763,60.086628
47,Firefox,1320.075012,60.07439
48,Firefox,1304.708923,60.07192
49,Firefox,1181.818665,60.077065
50,Chrome,1344.846069,60.086853
51,Firefox,1301.57019,60.072453
52,Firefox,1274.336609,60.071968
53,Chrome,1453.384094,60.07821
54,Firefox,1296.111877,60.077034
55,Firefox,1349.203125,60.079006
56,Firefox,1298.730164,60.07884
57,Chrome,1403.183044,60.084877
58,Firefox,1332.852173,60.07178
59,Firefox,1330.615906,60.07811
60,Firefox,1293.552551,60.068542
