Iteration,Browser,Energy (Joules),Time (Seconds)
1,Firefox,1373.3187866210938,60.072205
2,Chrome,1279.1508178710938,60.087173
3,Chrome,1243.697265625,60.090454
4,Firefox,1252.6069946289063,60.09122
5,Chrome,1234.0404663085938,60.08058
6,Chrome,1267.8898315429688,60.082924
7,Chrome,1271.6410522460938,60.08201
8,Chrome,1275.9176635742188,60.082672
9,Chrome,1225.1847534179688,60.079853
10,Chrome,1272.5836791992188,60.083992
11,Chrome,1286.325439453125,60.086
12,Chrome,1273.4181518554688,60.0855
13,Chrome,1302.3441162109375,60.083206
14,Firefox,1282.9269409179688,60.079937
15,Firefox,1275.8685913085938,60.084488
16,Firefox,1260.6891479492188,60.08054
17,Firefox,1263.7730712890625,60.078114
18,Firefox,1258.25439453125,60.08148
19,Firefox,1315.0380249023438,60.08192
20,Firefox,1275.4371948242188,60.081886
21,Firefox,1302.3773803710938,60.077507
22,Chrome,1324.2839965820313,60.0757
23,Firefox,1274.341796875,60.081596
24,Chrome,1430.1372680664063,60.080395
25,Chrome,1314.7554931640625,60.081673
26,Firefox,1422.4105224609375,60.07125
27,Chrome,1318.75146484375,60.081577
28,Chrome,1350.4605102539063,60.077137
29,Firefox,1338.535400390625,59.684856
30,Firefox,1347.0633544921875,60.083225
31,Chrome,1337.8018798828125,60.07611
32,Chrome,,
33,Firefox,1325.79052734375,60.07702
34,Firefox,1239.3609008789063,60.08425
35,Chrome,1394.7343139648438,60.078922
36,Chrome,1442.0460205078125,60.082687
37,Chrome,1319.23388671875,60.089188
38,Chrome,1323.317626953125,60.08036
39,Firefox,1215.8585815429688,60.078007
40,Chrome,1320.0145263671875,60.081783
41,Chrome,1324.7483520507813,60.085
42,Chrome,1336.1202392578125,60.088223
43,Firefox,1233.3062133789063,60.078785
44,Firefox,1337.8804931640625,60.074463
45,Chrome,1324.5435180664063,60.07438
46,Chrome,1332.6817626953125,60.086628
47,Firefox,1320.0750122070313,60.07439
48,Firefox,1304.7089233398438,60.07192
49,Firefox,1181.8186645507813,60.077065
50,Chrome,1344.8460693359375,60.086853
51,Firefox,1301.5701904296875,60.072453
52,Firefox,1274.3366088867188,60.071968
53,Chrome,1453.3840942382813,60.07821
54,Firefox,1296.1118774414063,60.077034
55,Firefox,1349.203125,60.079006
56,Firefox,1298.7301635742188,60.07884
57,Chrome,1403.1830444335938,60.084877
58,Firefox,1332.8521728515625,60.07178
59,Firefox,1330.6159057617188,60.07811
60,Firefox,1293.5525512695313,60.068542
